iter	Passed	Remaining
455	912	1088
456	913	1085
457	914	1082
458	915	1079
459	917	1076
460	918	1074
461	920	1071
462	921	1068
463	922	1066
464	924	1063
465	925	1060
466	926	1057
467	927	1054
468	929	1051
469	930	1049
470	931	1046
471	932	1043
472	934	1040
473	935	1038
474	936	1035
475	938	1032
476	939	1029
477	940	1027
478	941	1024
479	942	1021
480	944	1018
481	945	1016
482	946	1013
483	948	1010
484	949	1008
485	950	1005
486	951	1002
487	953	999
488	954	997
489	955	994
490	956	991
491	957	988
492	958	986
493	960	983
494	961	981
495	962	978
496	964	976
497	965	973
498	966	970
499	968	968
500	969	965
501	970	962
502	971	959
503	972	957
504	973	954
505	975	951
506	976	949
507	977	946
508	978	944
509	980	941
510	981	939
511	982	936
512	983	933
513	984	931
514	986	928
515	987	925
516	988	923
517	989	921
518	990	918
519	992	915
520	993	913
521	994	911
522	996	908
523	998	906
524	1039	940
525	1042	939
526	1053	945
527	1055	943
528	1057	941
529	1059	939
530	1064	939
531	1083	953
532	1105	968
533	1108	967
534	1121	974
535	1191	1031
536	1205	1039
537	1223	1050
538	1226	1048
539	1228	1046
540	1235	1048
541	1238	1046
542	1251	1053
543	1254	1051
544	1257	1049
545	1259	1046
546	1267	1049
547	1289	1063
548	1290	1060
549	1292	1057
550	1294	1054
551	1299	1054
552	1307	1056
553	1309	1054
554	1315	1055
555	1321	1055
556	1323	1052
557	1326	1050
558	1332	1050
559	1337	1051
560	1340	1048
561	1344	1047
562	1349	1047
563	1351	1044
564	1353	1042
565	1363	1045
566	1367	1044
567	1368	1041
568	1370	1038
569	1372	1035
570	1375	1033
571	1377	1030
572	1379	1027
573	1382	1025
574	1383	1022
575	1385	1020
576	1391	1020
577	1393	1017
578	1395	1014
579	1398	1012
580	1401	1010
581	1404	1008
582	1406	1005
583	1410	1005
584	1414	1003
585	1417	1001
586	1430	1006
587	1433	1004
588	1440	1005
589	1443	1002
590	1445	1000
591	1448	997
592	1452	997
593	1455	994
594	1457	992
595	1469	995
596	1471	993
597	1473	990
598	1475	987
599	1478	985
600	1481	983
601	1483	980
602	1487	979
603	1491	978
604	1499	979
605	1502	976
606	1507	975
607	1513	975
608	1516	973
609	1518	970
610	1522	969
611	1525	966
612	1527	964
613	1528	961
614	1530	958
615	1538	959
616	1543	958
617	1545	955
618	1548	952
619	1551	950
620	1552	947
621	1554	944
622	1555	941
623	1557	938
624	1559	935
625	1561	932
626	1564	930
627	1566	927
628	1567	924
629	1569	921
630	1571	919
631	1575	917
632	1582	917
633	1584	914
634	1597	917
635	1612	922
636	1613	919
637	1615	916
638	1616	913
639	1618	910
640	1619	907
641	1620	903
642	1622	900
643	1623	897
644	1625	894
645	1627	891
646	1628	888
647	1630	885
648	1631	882
649	1632	879
650	1633	875
651	1635	872
652	1636	869
653	1638	866
654	1640	864
655	1642	861
656	1643	858
657	1645	855
658	1646	852
659	1647	848
660	1649	845
661	1650	842
662	1651	839
663	1652	836
664	1655	833
665	1656	830
666	1657	827
667	1658	824
668	1659	821
669	1660	817
670	1661	814
671	1662	811
672	1663	808
673	1664	805
674	1665	802
675	1667	798
676	1668	796
677	1670	793
678	1671	790
679	1672	787
680	1673	784
681	1674	780
682	1675	777
683	1676	774
684	1677	771
685	1678	768
686	1679	765
687	1681	762
688	1682	759
689	1683	756
690	1685	753
691	1686	750
692	1687	747
693	1688	744
694	1689	741
695	1690	738
696	1691	735
697	1692	732
698	1693	729
699	1694	726
700	1696	723
701	1697	720
702	1699	717
703	1700	714
704	1701	711
705	1702	708
706	1703	705
707	1704	703
708	1705	700
709	1706	697
710	1707	694
711	1708	691
712	1710	688
713	1711	685
714	1713	682
715	1714	680
716	1717	677
717	1718	674
718	1719	671
719	1720	668
720	1721	666
721	1722	663
722	1723	660
723	1725	657
724	1728	655
725	1729	652
726	1730	649
727	1731	646
728	1732	643
729	1733	641
730	1734	638
731	1735	635
732	1736	632
733	1737	629
734	1737	626
735	1739	623
736	1740	621
737	1741	618
738	1743	615
739	1744	612
740	1745	609
741	1746	607
742	1747	604
743	1748	601
744	1749	598
745	1750	595
746	1751	593
747	1752	590
748	1753	587
749	1754	584
750	1756	582
751	1757	579
752	1758	576
753	1759	574
754	1760	571
755	1761	568
756	1762	565
757	1763	563
758	1764	560
759	1765	557
760	1766	554
761	1767	552
762	1769	549
763	1770	546
764	1771	544
765	1772	541
766	1773	538
767	1774	536
768	1775	533
769	1776	530
770	1777	528
771	1778	525
772	1779	522
773	1780	519
774	1781	517
775	1783	514
776	1784	512
777	1785	509
778	1786	506
779	1787	504
780	1788	501
781	1789	498
782	1790	496
783	1791	493
784	1792	491
785	1793	488
786	1794	485
787	1796	483
788	1797	480
789	1798	478
790	1799	475
791	1800	472
792	1801	470
793	1802	467
794	1803	465
795	1804	462
796	1805	459
797	1806	457
798	1807	454
799	1808	452
800	1810	449
801	1811	447
802	1812	444
803	1813	442
804	1814	439
805	1815	437
806	1816	434
807	1817	431
808	1818	429
809	1819	426
810	1820	424
811	1822	421
812	1822	419
813	1823	416
814	1824	414
815	1825	411
816	1827	409
817	1828	406
818	1829	404
819	1830	401
820	1831	399
821	1832	396
822	1833	394
823	1834	391
824	1835	389
825	1836	386
826	1837	384
827	1838	381
828	1839	379
829	1840	377
830	1841	374
831	1843	372
832	1844	369
833	1845	367
834	1846	364
835	1847	362
836	1848	360
837	1850	357
838	1851	355
839	1852	352
840	1853	350
841	1854	348
842	1855	345
843	1856	343
844	1857	340
845	1859	338
846	1860	335
847	1861	333
848	1861	331
849	1863	328
850	1864	326
851	1865	324
852	1866	321
853	1867	319
854	1868	316
855	1869	314
856	1870	312
857	1871	309
858	1872	307
859	1873	305
860	1875	302
861	1876	300
862	1876	297
863	1878	295
864	1879	293
865	1880	290
866	1881	288
867	1882	286
868	1883	283
869	1884	281
870	1885	279
871	1886	276
872	1887	274
873	1888	272
874	1889	269
875	1891	267
876	1892	265
877	1893	263
878	1894	260
879	1895	258
880	1896	256
881	1897	253
882	1898	251
883	1899	249
884	1900	246
885	1902	244
886	1903	242
887	1904	240
888	1905	237
889	1906	235
890	1907	233
891	1908	231
892	1909	228
893	1910	226
894	1911	224
895	1912	222
896	1913	219
897	1914	217
898	1915	215
899	1917	213
900	1918	210
901	1919	208
902	1920	206
903	1921	204
904	1922	201
905	1923	199
906	1924	197
907	1925	195
908	1926	192
909	1927	190
910	1928	188
911	1929	186
912	1930	183
913	1931	181
914	1933	179
915	1934	177
916	1935	175
917	1937	173
918	1938	170
919	1939	168
920	1940	166
921	1941	164
922	1942	162
923	1943	159
924	1944	157
925	1945	155
926	1946	153
927	1947	151
928	1948	148
929	1949	146
930	1950	144
931	1951	142
932	1952	140
933	1953	138
934	1954	135
935	1956	133
936	1957	131
937	1958	129
938	1960	127
939	1967	125
940	1970	123
941	1973	121
942	1974	119
943	1975	117
944	1976	115
945	1977	112
946	1978	110
947	1979	108
948	1980	106
949	1982	104
950	1982	102
951	1983	100
952	1984	97
953	1986	95
954	1987	93
955	1988	91
956	1988	89
957	1990	87
958	1991	85
959	1992	83
960	1993	80
961	1994	78
962	1995	76
963	1996	74
964	1997	72
965	1998	70
966	1999	68
967	2001	66
968	2002	64
969	2003	61
970	2004	59
971	2005	57
972	2006	55
973	2007	53
974	2008	51
975	2009	49
976	2010	47
977	2011	45
978	2012	43
979	2014	41
980	2015	39
981	2016	36
982	2017	34
983	2018	32
984	2019	30
985	2020	28
986	2022	26
987	2023	24
988	2024	22
989	2025	20
990	2026	18
991	2027	16
992	2028	14
993	2029	12
994	2030	10
995	2031	8
996	2032	6
997	2033	4
998	2035	2
999	2036	0
